year,type,element_no,element,element_display,MentionedPosts,examples_json,type_old
2022,게임/IP,1,로스트아크|로아,로스트아크,4,"[{""context"": ""오전에 <[[로스트아크]]> 금강선 디렉터가 다녀가셨는데, 여기에서 그 분은 금 비버인 거죠. (웃음)"", ""title"": ""<가짜 하트> Hello World, Beaver World! 2022 버닝비버 후기"", ""link"": ""https://blog.naver.com/blanbee/222963977031""}, {""context"": ""그리고 뒤이어 [[로스트아크]]의 전 디렉터이신 금강선 디렉터님도 오셨습니다!"", ""title"": ""더겜소년의 버닝비버 후기 1일차"", ""link"": ""https://blog.naver.com/dlckdals5050/222962839195""}, {""context"": ""지금은 [[로아]]구동기라고 불리는 스토브 클라이언트인데 차후 스토브 플랫폼 자체로 인정받는 날이 왔으면 좋겠습니다."", ""title"": ""더겜소년의 버닝비버 후기 3일차 完 (+스토브 인디 어워즈)"", ""link"": ""https://blog.naver.com/dlckdals5050/222963211791""}, {""context"": ""입장 티켓을 구매하면 [[로스트아크]] 쿠폰을 주고, 경품 중에는 로스트아크 굿즈도 있어서 로아 유저들도 많이 찾아왔고요."", ""title"": ""인디게임 행사 GOAT, 버닝비버 후기"", ""link"": ""https://blog.naver.com/neopgame/223735112498""}]",게임/IP
2022,장소/공간,2,가로수길,가로수길,3,"[{""context"": ""[[가로수길]]을 가득 채운 너드들의 가장 뜨거웠던 연말의 행사, 시작합니다! 🔥"", ""title"": ""<가짜 하트> Hello World, Beaver World! 2022 버닝비버 후기"", ""link"": ""https://blog.naver.com/blanbee/222963977031""}, {""context"": ""스마일게이트희망스튜디오 퓨처랩 서울특별시 강남구 도산대로15길 35 [[가로수길]] 버닝비버 페스티벌 ​ 🔽 버닝비버 2022 인디게임 & 컬쳐 페스티벌 정보 🔽 ​ 일정 : 2022.12.16(금) ~ 2022.12.18(일) 장소 : 신사동 545-14 가로수길 관람시간 : 10:00 ~ 18:00 관람료 : 얼리버드 9,000원, 사전예매 12,000원 현장예매 15,000원 ​ ​ 위치는 신사역 8번 출구 기준으로 가로수길 안으로 들어와 2~3분 정도 직진하다가 우측에 보면 건물이 보인다 ​ 네이버에 검색해보니 죄다 가로수길이라고 적혀있어 찾아오기 힘들었는데..."", ""title"": ""버닝비버 2022 인디게임 페스티벌! 골든티켓 당첨 & 관람 후기"", ""link"": ""https://blog.naver.com/kastia0075/222958494030""}, {""context"": ""다만 글을 쓰기위해 자료를 다시 찾아보는데 네이버 검색결과로 위치를 알수없어서 힘들었다 인스타계정에 들어가서도 계정정보에 정확한 위치가 아닌 [[가로수길]]이라고만 적혀있다 ​ 내부는 올라가는길과 내려가는길을 따로 운영 중이었고, ​ 거의 나그네들의 쉼터로 이용되고 있던 지하 1층의 버닝비버 굿즈샵 은 비버모자(귀여움), 후드티, 휴대폰 악세서리 등을 판매하고있었다 ​ 부스별로 1~3대의 게임이 가능한 pc와 패드를 배치해두었고, 개별굿즈가 있는곳도 꽤 많았다 1층부터 지하 3층까지 그득그득했고 지하 1층과 2층에 추첨이벤트가 한개씩 있다"", ""title"": ""[ 버닝비버 2022] 스마일게이트 인디게임 페스티벌 후기"", ""link"": ""https://blog.naver.com/slow-log/222958992710""}]",공간/배치
2022,굿즈/리워드,3,굿즈샵|굿즈 샵|굿즈스토어|굿즈 스토어,굿즈샵,4,"[{""context"": ""모든 비버가 열심히 인사해준다 귀여운 비버 모자가 있는 [[굿즈샵]] 그리고 중간중간 진짜비버(?) 도 돌아다녀서 사진도 찍어준다."", ""title"": ""버닝비버 부스 운영 후기"", ""link"": ""https://blog.naver.com/chunsh10/222960282554""}, {""context"": ""\""버닝비버 2022\"" 는 자력으로 댐을 만드는 비버 같은 열정을 가진 개발자 들을 만나는 곳으로 1층부터 지하 2층까지 총 80여개 부스 외에 박람회 내 컨텐츠로 버닝비버 [[굿즈샵]], 비버뽑기, 비버네컷 등이 준비되어 있다 ​ 방문하기 전만 해도 지스타, 플포랑 비교하면 정말 빈약할거라 생각했는데... ​ 막상 와보니 인디게임에 관심있다면 오히려 버닝비버가 훨씬 낫지 않나 ? 라는 생각이 들 정도로 잘되어 있었다!"", ""title"": ""버닝비버 2022 인디게임 페스티벌! 골든티켓 당첨 & 관람 후기"", ""link"": ""https://blog.naver.com/kastia0075/222958494030""}, {""context"": ""그리고 휴식 할 수 있는 공간인 [[굿즈샵]](?)도 존재합니다."", ""title"": ""대한민국 인디게임의 축제 버닝비버 2022 후기"", ""link"": ""https://blog.naver.com/scv9246126/222961335588""}, {""context"": ""다만 글을 쓰기위해 자료를 다시 찾아보는데 네이버 검색결과로 위치를 알수없어서 힘들었다 인스타계정에 들어가서도 계정정보에 정확한 위치가 아닌 가로수길이라고만 적혀있다 ​ 내부는 올라가는길과 내려가는길을 따로 운영 중이었고, ​ 거의 나그네들의 쉼터로 이용되고 있던 지하 1층의 버닝비버 [[굿즈샵]] 은 비버모자(귀여움), 후드티, 휴대폰 악세서리 등을 판매하고있었다 ​ 부스별로 1~3대의 게임이 가능한 pc와 패드를 배치해두었고, 개별굿즈가 있는곳도 꽤 많았다 1층부터 지하 3층까지 그득그득했고 지하 1층과 2층에 추첨이벤트가 한개씩 있다"", ""title"": ""[ 버닝비버 2022] 스마일게이트 인디게임 페스티벌 후기"", ""link"": ""https://blog.naver.com/slow-log/222958992710""}]",굿즈/리워드
2022,굿즈/리워드,4,토큰,토큰,4,"[{""context"": ""[[토큰]] 교환처에서는 음료수도 무료로 제공해줘서 따로 사서 마실일도 없다."", ""title"": ""버닝비버 부스 운영 후기"", ""link"": ""https://blog.naver.com/chunsh10/222960282554""}, {""context"": ""◈ 기대 이상으로 알찼던 인디 게임 행사 GOAT 게임 체험을 하며 모은 [[토큰]]으로 경품 뽑기를 하는 모습 소소한 굿즈와 쿠폰까지 든든하게 확실히 든든한 스폰서가 있으니까 다르다는 걸 느낄 수 있었던 행사였습니다."", ""title"": ""인디게임 행사 GOAT, 버닝비버 후기"", ""link"": ""https://blog.naver.com/neopgame/223735112498""}, {""context"": ""그리고 [[토큰]]도 어디에 사용 할 수 있는지 알려줍니다."", ""title"": ""대한민국 인디게임의 축제 버닝비버 2022 후기"", ""link"": ""https://blog.naver.com/scv9246126/222961335588""}, {""context"": ""버닝비버 [[토큰]] 사용처 출처 : 공식홈 입장후 매표를 확인하면 주는것들과 토큰 이용법 #버닝비버네컷사진 촬영할때 사용하는 코인 지하 3층 에 사진기가 있고, 이용을 도와주는 스탭이 한분 계신다 사실 여권을 열어볼 생각은 안했던것같다 게임을 해보는것만이 목적이었기때문에 뭐가 많아서 떨어뜨리지 않게만 신경썼고 따로 챙겨주신 코인과 팔찌만 사용했던.."", ""title"": ""[ 버닝비버 2022] 스마일게이트 인디게임 페스티벌 후기"", ""link"": ""https://blog.naver.com/slow-log/222958992710""}]",굿즈/리워드
2022,네트워킹,5,비버들의 밤,비버들의 밤,3,"[{""context"": ""4. 개발자들끼리의 소통 행사가 끝나고 저녁을 제공해 주면서 [[비버들의 밤]]이라는 프로그램으로 개발자들끼리 서로 소통할수 있는 시간을 만들어 주어서 서로 노하우나 고민을 주고 받을수 있었다."", ""title"": ""버닝비버 부스 운영 후기"", ""link"": ""https://blog.naver.com/chunsh10/222960282554""}, {""context"": ""[[비버들의 밤]] 행사가 마무리되고, 개발자들과 대화의 장이 열리는 비버들의 밤이 시작되었습니다."", ""title"": ""더겜소년의 버닝비버 후기 1일차"", ""link"": ""https://blog.naver.com/dlckdals5050/222962839195""}, {""context"": ""어제 [[비버들의 밤]]에서 대화를 나눴지만 게임에 대해서 이야기를 하지 않아서 특정 패턴에서 공격하면 그로기 상태가 되는 상호작용 패턴에 대한 피드백을 드렸습니다."", ""title"": ""더겜소년의 버닝비버 후기 2일차"", ""link"": ""https://blog.naver.com/dlckdals5050/222963092118""}]",네트워킹
2022,이벤트,6,비버 피쳐드|비버피처드|Beaver Featured,비버 피쳐드,2,"[{""context"": ""[[비버 피쳐드]] 및 폐회식 이제 어느덧 버닝비버가 마무리가 되어갑니다."", ""title"": ""더겜소년의 버닝비버 후기 3일차 完 (+스토브 인디 어워즈)"", ""link"": ""https://blog.naver.com/dlckdals5050/222963211791""}, {""context"": ""2022 [[비버피처드]] 오후 5시부터 진행한 2022 비버피처드 , 주요 게임 개발자 및 관계자, 방문객들이 우수한 퀄리티와 참신함을 보여준 인디게임에 한해 상을 주는 행사입니다."", ""title"": ""[ 버닝비버 ] 인디게임 페스티벌, 버닝비버 2022 오프라인 후기 !!"", ""link"": ""https://blog.naver.com/ksuj60/222961766490""}]",시상/행사
2022,연사/인플루언서,7,김나성,김나성,1,"[{""context"": ""방구석에 인어아가씨 등으로 유명한 작가 지나가던 개님과 일러스트레이터 슈니아님, 스트리머 [[김나성]]님의 사인회도 좋았습니다."", ""title"": ""인디게임 행사 GOAT, 버닝비버 후기"", ""link"": ""https://blog.naver.com/neopgame/223735112498""}]",연사/인플루언서
2022,연사/인플루언서,8,김성회,김성회,1,"[{""context"": ""부스를 비롯해서 총 4개의 층 으로 구성, 굿즈 판매존 과 이벤트존 , G식백과의 [[김성회]] 대표님의 발표와 스트리머 김나"", ""title"": ""[ 버닝비버 ] 인디게임 페스티벌, 버닝비버 2022 오프라인 후기 !!"", ""link"": ""https://blog.naver.com/ksuj60/222961766490""}]",연사/인플루언서
2022,운영인력,9,스태프|직원|알바,스태프,6,"[{""context"": ""안에 있는 모든 [[스태프]]들이 모두 비버 옷을 입고 있어서 비버 마을에 온것 같은?"", ""title"": ""버닝비버 부스 운영 후기"", ""link"": ""https://blog.naver.com/chunsh10/222960282554""}, {""context"": ""(그래서 [[스태프]]분들이 지키고 계셨구나...)"", ""title"": ""더겜소년의 버닝비버 후기 1일차"", ""link"": ""https://blog.naver.com/dlckdals5050/222962839195""}, {""context"": ""스마일게이트 CCL(Creative Challengers League)은 스마일게이트 내부에서 임[[직원]] 분들이 만들고자하는 게임을 만드는 프로그램으로 알고 있습니다."", ""title"": ""더겜소년의 버닝비버 후기 2일차"", ""link"": ""https://blog.naver.com/dlckdals5050/222963092118""}, {""context"": ""그리고 이 행사를 도와주는 많은 [[스태프]] 분들이 계셨지만 대표로 피치님과 포포님이 나오셔서 마무리 인사를 해주셨습니다!!"", ""title"": ""더겜소년의 버닝비버 후기 3일차 完 (+스토브 인디 어워즈)"", ""link"": ""https://blog.naver.com/dlckdals5050/222963211791""}, {""context"": ""하루 10개 한정인 비버 가죽을 쓰고 있으면 [[스태프]]들이 '헤이! 비버!!' 하며 인사해주었고 ​ 돌아다니고 있는 스태프를 만나 간단한 게임을 이기면 음료수를 얻을 수 있었습니다."", ""title"": ""카투바의 밀렵꾼, 버닝비버 2022 후기"", ""link"": ""https://blog.naver.com/katuba/222961062194""}]",운영인력
2022,네트워킹,10,비버잼,비버잼,2,"[{""context"": ""이후 [[비버잼]] 소개 영상과 게임의 프로토타입 버전을 전시하는 Ver 0.0.1의 소개 연사가 진행 되었습니다."", ""title"": ""더겜소년의 버닝비버 후기 1일차"", ""link"": ""https://blog.naver.com/dlckdals5050/222962839195""}, {""context"": ""이번 버닝비버를 위해서 많은 도움을 주신 비버 스태프 분들, [[비버잼]]을 기획하시고, 열심히 업무 데스크에서 일하셨던 퓨처랩 직원 분들, "", ""title"": ""더겜소년의 버닝비버 후기 3일차 完 (+스토브 인디 어워즈)"", ""link"": ""https://blog.naver.com/dlckdals5050/222963211791""}]",워크숍/게임잼
2022,이벤트,11,Ver.0.01|Ver.0.0.1|Ver0.01|Ver0.0.1,Ver.0.01,2,"[{""context"": ""이후 비버잼 소개 영상과 게임의 프로토타입 버전을 전시하는 [[Ver 0.0.1]]의 소개 연사가 진행 되었습니다."", ""title"": ""더겜소년의 버닝비버 후기 1일차"", ""link"": ""https://blog.naver.com/dlckdals5050/222962839195""}, {""context"": ""행사가 시작하기 전 아침 '[[ver.0.0.1]] 기획 전시'를 보고 카투바의 옛 버전이 생각났습니다."", ""title"": ""카투바의 밀렵꾼, 버닝비버 2022 후기"", ""link"": ""https://blog.naver.com/katuba/222961062194""}]",전시/특별관
2022,장소/공간,14,온라인 전시관,온라인 전시관,1,"[{""context"": ""151가지의 출품작들을 체험해 볼 수 있는 [[온라인 전시관]] 저의 후기는 여기까지 입니다."", ""title"": ""인디게임 행사 GOAT, 버닝비버 후기"", ""link"": ""https://blog.naver.com/neopgame/223735112498""}]",플랫폼(온라인)
2022,이벤트,15,경품 뽑기|뽑기|가챠,경품 뽑기,7,"[{""context"": ""그리고 중간중간에 스트리머 팬사인회라든지 스토브 인디 부스에서 [[뽑기]] 이벤트 등 여러 가지 작은 이벤트들이 있어서 소소하게 즐기 거리가 있던 것도 좋았던 것 같아요!"", ""title"": ""2022 버닝비버 전시회 참여 후기"", ""link"": ""https://blog.naver.com/99jjuni/222961852080""}, {""context"": ""스토브 인디 부스에서는 [[뽑기]]를 돌려서 추첨으로 상품을 주는 이벤트를 진행하고 있었는데 저는 전부 5등으로 뽑았습니다."", ""title"": ""더겜소년의 버닝비버 후기 1일차"", ""link"": ""https://blog.naver.com/dlckdals5050/222962839195""}, {""context"": ""사전예약을 하면 [[뽑기]]를 할 수 있었는데 3일 내내 그래픽카드가 안나왔다는..."", ""title"": ""더겜소년의 버닝비버 후기 3일차 完 (+스토브 인디 어워즈)"", ""link"": ""https://blog.naver.com/dlckdals5050/222963211791""}, {""context"": ""\""버닝비버 2022\"" 는 자력으로 댐을 만드는 비버 같은 열정을 가진 개발자 들을 만나는 곳으로 1층부터 지하 2층까지 총 80여개 부스 외에 박람회 내 컨텐츠로 버닝비버 굿즈샵, 비버[[뽑기]], 비버네컷 등이 준비되어 있다 ​ 방문하기 전만 해도 지스타, 플포랑 비교하면 정말 빈약할거라 생각했는데... ​ 막상 와보니 인디게임에 관심있다면 오히려 버닝비버가 훨씬 낫지 않나 ? 라는 생각이 들 정도로 잘되어 있었다!"", ""title"": ""버닝비버 2022 인디게임 페스티벌! 골든티켓 당첨 & 관람 후기"", ""link"": ""https://blog.naver.com/kastia0075/222958494030""}, {""context"": ""◈ 기대 이상으로 알찼던 인디 게임 행사 GOAT 게임 체험을 하며 모은 토큰으로 [[경품 뽑기]]를 하는 모습 소소한 굿즈와 쿠폰까지 든든하게 확실히 든든한 스폰서가 있으니까 다르다는 걸 느낄 수 있었던 행사였습니다."", ""title"": ""인디게임 행사 GOAT, 버닝비버 후기"", ""link"": ""https://blog.naver.com/neopgame/223735112498""}]",현장 이벤트
2023,장소/공간,16,DDP|동대문디자인플라자|동대문 디자인 플라자,DDP,10,"[{""context"": ""아쉬웠던 점은, 수용 인원이 많은 거에 비해 할 수 자리가 적어서 20분 이상 대기하지 않으면 못했으며 , 인파로 혼잡해서 저 같은 파워 I들은 기가 너무 빨려서 힘들었고, 마지막으로 [[DDP]] 주차장 지원이 안된다는 게 슬펐습니다."", ""title"": ""2023 버닝비버 인디게임 페스티벌 방문한 후기"", ""link"": ""https://blog.naver.com/bee_sky/223284150993""}, {""context"": ""올해 버닝비버는 서울 [[DDP]] 아트홀에서 열렸는데요, 작년보다 아주 넓어진 스케일에 아주 놀랐답니다,,"", ""title"": ""<가짜 하트> 2023 버닝비버 Burning Beaver 참가 후기"", ""link"": ""https://blog.naver.com/blanbee/223288590112""}, {""context"": ""환불하고 거의 공짜로 입장할 수 있었습니다 야호 ​ ​ ​ [[DDP]] 지하 2층 모모야에서 돈까스 먹어주고 출발!"", ""title"": ""[서울/전시] 인디게임을 실컷 즐길 수 있는 < 버닝비버 > 전시 후기"", ""link"": ""https://blog.naver.com/during58/223283944114""}, {""context"": ""버닝비버 가는 길 버닝비버 2023은 [[동대문디자인플라자]](DDP) ART HALL1 에서 12월 1~3일 진행되었습니다!"", ""title"": ""초대권으로 버닝비버 2023에 다녀온 후기 ! (1)"", ""link"": ""https://blog.naver.com/hyanggies/223296954835""}, {""context"": ""작년엔 성수였나 강남쪽 동네였는데 올해는 [[동대문디자인플라자]] ddp 에서 열렸다"", ""title"": ""버닝비버 2023 인디게임&컬처 페스티벌 후기"", ""link"": ""https://blog.naver.com/iammulgogi/223283268495""}]",공간/배치
2023,장소/공간,17,버닝시티,버닝시티,1,"[{""context"": ""이정표에 적혀있는 것처럼 비버월드에는 공간이 3가지로 나누어져 있는데요, 이벤트가 진행되는 비버 광장 , 게임 부스들이 있는 비버빌리지, [[버닝시티]] 로 구성되어 있습니다!"", ""title"": ""초대권으로 버닝비버 2023에 다녀온 후기 ! (1)"", ""link"": ""https://blog.naver.com/hyanggies/223296954835""}]",공간/배치
2023,장소/공간,18,비버 광장|비버광장,비버 광장,1,"[{""context"": ""이정표에 적혀있는 것처럼 비버월드에는 공간이 3가지로 나누어져 있는데요, 이벤트가 진행되는 [[비버 광장]] , 게임 부스들이 있는 비버빌리지, 버닝시티 로 구성되어 있습니다!"", ""title"": ""초대권으로 버닝비버 2023에 다녀온 후기 ! (1)"", ""link"": ""https://blog.naver.com/hyanggies/223296954835""}]",공간/배치
2023,장소/공간,19,비버 빌리지|비버빌리지,비버 빌리지,1,"[{""context"": ""이정표에 적혀있는 것처럼 비버월드에는 공간이 3가지로 나누어져 있는데요, 이벤트가 진행되는 비버 광장 , 게임 부스들이 있는 [[비버빌리지]], 버닝시티 로 구성되어 있습니다!"", ""title"": ""초대권으로 버닝비버 2023에 다녀온 후기 ! (1)"", ""link"": ""https://blog.naver.com/hyanggies/223296954835""}]",공간/배치
2023,굿즈/리워드,20,가이드북,가이드북,3,"[{""context"": ""(그래도 아쉽)) ​ ​ ​ 초대권을 내고 받은 입장 팔찌, [[가이드북]], 스토브 인디게임 쿠폰!"", ""title"": ""초대권으로 버닝비버 2023에 다녀온 후기 ! (1)"", ""link"": ""https://blog.naver.com/hyanggies/223296954835""}, {""context"": ""[[가이드북]]을 통해 온라인으로 비버월드 모험가 길드에 가입을 할 수 있습니다."", ""title"": ""스마일게이트 버닝비버 2023 인디게임&컬쳐페스티벌 방문 후기"", ""link"": ""https://blog.naver.com/jhk7318/223281677657""}, {""context"": ""입구에서 급하게 들어오느라 그런지 몰라도 비버월드 [[가이드북]]이란 게 있는데 처음엔 몰랐다가 골드를 어디서 버냐고 관계 직원분에게 여쭤봐서 알았습니다."", ""title"": ""[ 버닝비버 2023] 초등학생... 인디 게임 페스티벌 참여 후기 공유"", ""link"": ""https://blog.naver.com/zealot16/223281222025""}]",굿즈/리워드
2023,굿즈/리워드,22,아이템샵|아이템 샵,아이템샵,6,"[{""context"": ""골드를 모아 퇴장하기전 [[아이템 샵]]에서 모은 골드로 원하는 템을 구매해서 퇴장하면된다."", ""title"": ""2023 인디게임 페스티벌 버닝비버 후기"", ""link"": ""https://blog.naver.com/duck2283/223281109174""}, {""context"": ""[[아이템샵]] 너무 슬프니까 아이템샵 이라도 둘러봐요."", ""title"": ""[서울/전시] 인디게임을 실컷 즐길 수 있는 < 버닝비버 > 전시 후기"", ""link"": ""https://blog.naver.com/during58/223283944114""}, {""context"": ""버닝비버 2023 전체 공간 (출처 : 버닝비버 2023 공식 홈페이지) ​ 1. 세계관 전시 2. 기획전시 VER.0.0.1 3. 비버월드 4. 미션&리워드&[[아이템샵]] ​ 어떤 공간인지 하나씩 알아보기 위해서 버닝비버로 직접 가볼까요?"", ""title"": ""초대권으로 버닝비버 2023에 다녀온 후기 ! (1)"", ""link"": ""https://blog.naver.com/hyanggies/223296954835""}, {""context"": ""우선 비버 초상화한번 리워드 받고(5천골드)~ 그다음엔 [[아이템샵]]에가서 굿즈를 구매하려 했으나 원하는 굿즈는 품절쓰.."", ""title"": ""2023 버닝비버 (Burning Beaver... 참가 후기 . 이색데이트..."", ""link"": ""https://blog.naver.com/moong_mj/223282924375""}, {""context"": ""저는 오늘의 버닝 운세 (가챠샵)에서 2번 쓰고, 남은 골드로 [[아이템샵]](굿즈샵)에서 엽서와 스티커를 샀습니다."", ""title"": ""DDP 인디게임 페스티벌 ‘ 버닝비버 2023’ 후기 ..."", ""link"": ""https://blog.naver.com/salt-water/223281458051""}]",굿즈/리워드
2023,연사/인플루언서,23,남도형,남도형,5,"[{""context"": ""바로바로 [[남도형]] 성우 가 행사에 오시기 때문입니다!"", ""title"": ""[서울/전시] 인디게임을 실컷 즐길 수 있는 < 버닝비버 > 전시 후기"", ""link"": ""https://blog.naver.com/during58/223283944114""}, {""context"": ""13시에는 [[남도형]] 성우님이 오셨다!"", ""title"": ""버닝비버 2023 인디게임&컬처 페스티벌 후기"", ""link"": ""https://blog.naver.com/iammulgogi/223283268495""}, {""context"": ""그리고 13시에 진행 된 더빙의 신 톸콕쇼 [[남도형]] 성우님도 영접했습니다."", ""title"": ""스마일게이트 버닝비버 2023 인디게임&컬쳐페스티벌 방문 후기"", ""link"": ""https://blog.naver.com/jhk7318/223281677657""}, {""context"": "" ​[인플루언서 스테이지 프로그램] [[남도형]] 성우 톸톸쇼&사인회 성우 남도형 이력 미키 마우스, 가디언즈 오브 갤럭시 '라쿤', 스파이더맨, 로스트아크 '진저웨일' , 메이플스토리 '호영', 리그 오브 레전드 '제이스', '라칸' 등 매우 다양한 연기 소화해낸 인물입니다! 유튜브 <남도형의 블루클럽> 운영 중 "", ""title"": ""버닝비버 2023 정보(예매, 행사 내용) 및 2022 방문기!"", ""link"": ""https://blog.naver.com/mignoncre/223256307910""}, {""context"": ""이번에는 이벤트 공간이 북적북적해서 가보니 ​ ​ [[남도형]] 성우가 오셔서 많은 팬들이 몰려 있었습니다."", ""title"": ""2023 대한민국 인디게임의 오늘을 보자 버닝비버 3일차 방문기"", ""link"": ""https://blog.naver.com/scv9246126/223281969845""}]",연사/인플루언서
2023,연사/인플루언서,24,몬스터,몬스터,9,"[{""context"": ""중간중간 나오는 [[몬스터]]들 너무 귀엽고 위협적이야 ​ ​ 그렇게 입장한지 1시간 30분째..."", ""title"": ""[전시회] 버닝비버 2023 전시 후기 : 인디게임 천국 재밌게..."", ""link"": ""https://blog.naver.com/badaboomblog/223283314213""}, {""context"": ""그게 [[몬스터]]의 공격을 회피했을 때만 소모되는 것같아요."", ""title"": ""[서울/전시] 인디게임을 실컷 즐길 수 있는 < 버닝비버 > 전시 후기"", ""link"": ""https://blog.naver.com/during58/223283944114""}, {""context"": ""( Ctrl+F 기능을 통해 원하시는 게임을 그의 마을에 들이닥칠 [[몬스터]]들을 미리 해치운다 는 스토리를 가지고 있습니다."", ""title"": ""[전시] 2023 버닝비버 , '온라인 전시관' 게임 후기 !"", ""link"": ""https://blog.naver.com/during58/223306119265""}, {""context"": ""컬러?를 활용해 [[몬스터]]를 무찌르는 건데 이게 내가 조준하는 게 아니라 자동으로 나를 향해 조준되다 보니 원하는대로 맞추는 게 어려웠다"", ""title"": ""버닝비버 2023 인디게임&컬처 페스티벌 후기"", ""link"": ""https://blog.naver.com/iammulgogi/223283268495""}, {""context"": ""스마일게이트에서 주관하기에 스마일게이트 부스도 있고, [[몬스터]] 에너지도 무료로 줘서 갈증도 해소가 되었습니다."", ""title"": ""스마일게이트 버닝비버 2023 인디게임&컬쳐페스티벌 방문 후기"", ""link"": ""https://blog.naver.com/jhk7318/223281677657""}]",연사/인플루언서
2023,연사/인플루언서,25,여까,여까,2,"[{""context"": ""비버 광장에서는 13시에 [[여까]]님과 진행하는 행사를 알려주고 있었습니다!"", ""title"": ""초대권으로 버닝비버 2023에 다녀온 후기 ! (1)"", ""link"": ""https://blog.naver.com/hyanggies/223296954835""}, {""context"": ""버닝비버 메인 스테이지 메인 스테이지에서는 스트리머 '[[여까]]'님께서 저희 게임을 대왕키보드 로 유저 분들과 플레이 하는 이벤트가 있었습니다 !"", ""title"": ""학생게임개발팀의 조금 늦은 DDP 2023 버닝비버 전시 후기 !"", ""link"": ""https://blog.naver.com/igegegaeim/223308490971""}]",연사/인플루언서
2023,운영인력,27,확성기,확성기,2,"[{""context"": ""비버월드 [[확성기]] 는 자신이 보내는 메세지가 메세지 타임에 이벤트 화면에서 자막으로 뜹니다! (5번까지 골드 지급)"", ""title"": ""초대권으로 버닝비버 2023에 다녀온 후기 ! (1)"", ""link"": ""https://blog.naver.com/hyanggies/223296954835""}, {""context"": ""아래에 ‘[[확성기]]’와 ‘응원하기’를 하면 각 1000골드씩 5번까지 받을 수 있습니다."", ""title"": ""DDP 인디게임 페스티벌 ‘ 버닝비버 2023’ 후기 ..."", ""link"": ""https://blog.naver.com/salt-water/223281458051""}]",운영/장치
