year,game,MentionedPosts,examples_json
2023,피오,4,"[{""context"": "": 세피리아, 호프와 엘피스, 스테퍼 케이스, [[피오]], 서큐하트, 로얄블루의 마법의상실, 사람속에 피는꽃, 키키캐키캡."", ""title"": ""[전시] 2023 버닝비버 , '온라인 전시관' 게임 후기 !"", ""link"": ""https://blog.naver.com/during58/223306119265""}, {""context"": ""[[피오]]는 막보잡고 상품도 받았습니다"", ""title"": ""버닝비버 2023 후기"", ""link"": ""https://blog.naver.com/dldydgus1995/223288759383""}, {""context"": ""몽환적인 분위기와 밝은 별이 되기 위한 [[피오]]의 여정을 플레이하게 되는데요."", ""title"": ""열정을 조명하는 상 - 버닝비버 2023 STOVE 인디 어워즈 후기"", ""link"": ""https://blog.naver.com/alscks140/223283111987""}, {""context"": ""월드 와이드 부문은 루미네나이트, Nqc: Non Qualia Character, [[피오]], 키키캐키캡이 수상하였습니다."", ""title"": ""버닝비버 2023 인디게임 행사 부스&어워즈 체험 후기 (3일차)"", ""link"": ""https://blog.naver.com/leeon715/223282658519""}]"
2023,Nqc,3,"[{""context"": ""[[nqc]]는 전투가 완전히 바뀌었고 초반부가 더욱 흥미로워졌습니다"", ""title"": ""버닝비버 2023 후기"", ""link"": ""https://blog.naver.com/dldydgus1995/223288759383""}, {""context"": ""[[Nqc]] : Non Qualia Character"", ""title"": ""열정을 조명하는 상 - 버닝비버 2023 STOVE 인디 어워즈 후기"", ""link"": ""https://blog.naver.com/alscks140/223283111987""}, {""context"": ""월드 와이드 부문은 루미네나이트, [[Nqc]]: Non Qualia Character, 피오, 키키캐키캡이 수상하였습니다."", ""title"": ""버닝비버 2023 인디게임 행사 부스&어워즈 체험 후기 (3일차)"", ""link"": ""https://blog.naver.com/leeon715/223282658519""}]"
2023,Wetory,3,"[{""context"": ""[[Wetory]]"", ""title"": ""버닝비버 2023 후기"", ""link"": ""https://blog.naver.com/dldydgus1995/223288759383""}, {""context"": ""<[[wetory]]>"", ""title"": ""버닝비버 2023 인디게임&컬처 페스티벌 후기"", ""link"": ""https://blog.naver.com/iammulgogi/223283268495""}, {""context"": ""게임명: [[Wetory]]"", ""title"": ""버닝비버 2023 행사 인디게임 부스 플레이 후기 (2일차)"", ""link"": ""https://blog.naver.com/leeon715/223281328995""}]"
2023,길고양이 이야기2,3,"[{""context"": ""[[길고양이 이야기2]]에 꽂혔다."", ""title"": ""스마일게이트 버닝비버 2023 인디게임 페스티벌 방문 후기 !..."", ""link"": ""https://blog.naver.com/seungoxox/223290693709""}, {""context"": ""#[[길고양이이야기2]]"", ""title"": ""인디게임을 체험해 볼 수 있는 버닝비버 2023을 다녀오다"", ""link"": ""https://blog.naver.com/milkway_moon/223280481251""}, {""context"": ""[[길고양이이야기2]]"", ""title"": ""2022 버닝비버 게임 플레이 후기"", ""link"": ""https://blog.naver.com/sunflof/222978451195""}]"
2024,갈바테인 : 모험가 길드 사무소,5,"[{""context"": ""[[갈바테인 : 모험가 길드 사무소]]"", ""title"": ""버닝비버 2024 후기 로스트아크 굿즈도 잔뜩!"", ""link"": ""https://blog.naver.com/doek11/223680208709""}, {""context"": ""[[갈바테인 : 모험가 길드 사무소]]"", ""title"": ""든든하게 먹은 버닝비버 2024 행사 후기"", ""link"": ""https://blog.naver.com/neopgame/223735120710""}, {""context"": ""[[갈바테인: 모험가 길드사무소]]"", ""title"": ""버닝비버 2024 후기"", ""link"": ""https://blog.naver.com/biuwhdle/223679891503""}, {""context"": ""[[갈바테인: 모험가 길드 사무소]]"", ""title"": ""버닝비버 2024 11월 30일 참가 후기"", ""link"": ""https://blog.naver.com/jdh8803/223679012507""}, {""context"": ""[[갈바테인 : 모험가 길드 사무소]]"", ""title"": ""[ 버닝비버 2024] 대망의 참가 후기 ! ft.남도형 성우..."", ""link"": ""https://blog.naver.com/merry_christmas_eve/223678401670""}]"
2024,스테레오 믹스,5,"[{""context"": ""해보고 싶었지만 줄이 길었던 [[스테레오 믹스]]와 신기해 보였던 땡스 라이트"", ""title"": ""좋아한다면 주목! 인디게임&컬쳐 페스티벌 2024 버닝비버 후기"", ""link"": ""https://blog.naver.com/eazy_hops/223709598739""}, {""context"": ""[[스테레오 믹스]]"", ""title"": ""버닝비버 2024 후기 로스트아크 굿즈도 잔뜩!"", ""link"": ""https://blog.naver.com/doek11/223680208709""}, {""context"": ""[[스테레오 믹스]]"", ""title"": ""든든하게 먹은 버닝비버 2024 행사 후기"", ""link"": ""https://blog.naver.com/neopgame/223735120710""}, {""context"": ""[[스테레오 믹스]]"", ""title"": ""[ 버닝비버 2024] 대망의 참가 후기 ! ft.남도형 성우..."", ""link"": ""https://blog.naver.com/merry_christmas_eve/223678401670""}, {""context"": ""유형권 님의 일행이 플레이하고 있던 게임이라서 자연스럽게 다음 차례로 바톤 터치하듯 플레이해보았던 \""[[스테레오 믹스]]\""입니다."", ""title"": ""버닝비버 2024 후기 - 스토브 인디, 스팀게임으로 모두가 즐길..."", ""link"": ""https://blog.naver.com/whithmag/223678077620""}]"
2024,502호,4,"[{""context"": ""[[502호]]"", ""title"": ""버닝비버 2024 인디게임 페스티벌 후기"", ""link"": ""https://blog.naver.com/iammulgogi/223687904686""}, {""context"": ""또한, 해당 부스에서 기다리는 동안 '나와 닮은 [[502호]] 룸메이트'를 찾는 심리테스트를 할 수 있었다."", ""title"": ""버닝비버 2024 후기"", ""link"": ""https://blog.naver.com/biuwhdle/223679891503""}, {""context"": ""[[502호]]"", ""title"": ""[ 버닝비버 2024] 대망의 참가 후기 ! ft.남도형 성우..."", ""link"": ""https://blog.naver.com/merry_christmas_eve/223678401670""}, {""context"": ""[[502호]] 라는 게임인데 스토리 기반의 추리 게임 이었어요."", ""title"": ""[일상] 버닝비버 2024 게임쇼를 다녀오다"", ""link"": ""https://blog.naver.com/lrebao/223678400309""}]"
2024,KILL THE WITCH,4,"[{""context"": ""[[KILL THE WITCH]]"", ""title"": ""버닝비버 2024 후기 로스트아크 굿즈도 잔뜩!"", ""link"": ""https://blog.naver.com/doek11/223680208709""}, {""context"": ""[[KILL THE WITCH]]"", ""title"": ""든든하게 먹은 버닝비버 2024 행사 후기"", ""link"": ""https://blog.naver.com/neopgame/223735120710""}, {""context"": ""[[Kill the witch]]"", ""title"": ""버닝비버 2024 처음 갔다온 후기"", ""link"": ""https://blog.naver.com/nyanlove/223679165710""}, {""context"": ""[[KILL THE WITCH]]"", ""title"": ""버닝비버 2024 11월 30일 참가 후기"", ""link"": ""https://blog.naver.com/jdh8803/223679012507""}]"
2024,파멸의 오타쿠,4,"[{""context"": ""[[파멸의 오타쿠]]"", ""title"": ""버닝비버 2024 인디게임 페스티벌 후기"", ""link"": ""https://blog.naver.com/iammulgogi/223687904686""}, {""context"": ""[[파멸의 오타쿠]]"", ""title"": ""버닝비버 2024 후기"", ""link"": ""https://blog.naver.com/biuwhdle/223679891503""}, {""context"": ""[[파멸의 오타쿠]]"", ""title"": ""[ 버닝비버 2024] 대망의 참가 후기 ! ft.남도형 성우..."", ""link"": ""https://blog.naver.com/merry_christmas_eve/223678401670""}, {""context"": ""\""[[파멸의 오타쿠]]\"" 부스는 독특한 그림체 때문에 분명 어디서 봤던 기억이 있는데 그게 언제였는지 도통 기억이 안 나는 부스였습니다."", ""title"": ""버닝비버 2024 후기 - 스토브 인디, 스팀게임으로 모두가 즐길..."", ""link"": ""https://blog.naver.com/whithmag/223678077620""}]"
2024,KILLA,3,"[{""context"": ""[[KILLA]]"", ""title"": ""버닝비버 2024 후기 로스트아크 굿즈도 잔뜩!"", ""link"": ""https://blog.naver.com/doek11/223680208709""}, {""context"": ""[[KILLA]]"", ""title"": ""든든하게 먹은 버닝비버 2024 행사 후기"", ""link"": ""https://blog.naver.com/neopgame/223735120710""}, {""context"": ""검귤단의 [[KILLA]]"", ""title"": ""[ 버닝비버 2024] 대망의 참가 후기 ! ft.남도형 성우..."", ""link"": ""https://blog.naver.com/merry_christmas_eve/223678401670""}]"
2024,고양이와 비밀레시피,3,"[{""context"": ""[[고양이와 비밀레시피]]"", ""title"": ""좋아한다면 주목! 인디게임&컬쳐 페스티벌 2024 버닝비버 후기"", ""link"": ""https://blog.naver.com/eazy_hops/223709598739""}, {""context"": ""[[고양이와 비밀레시피]]"", ""title"": ""버닝비버 2024 후기 로스트아크 굿즈도 잔뜩!"", ""link"": ""https://blog.naver.com/doek11/223680208709""}, {""context"": ""타이쿤 게임인 '[[고양이와 비밀레시피]]'"", ""title"": ""[ 버닝비버 2024] 대망의 참가 후기 ! ft.남도형 성우..."", ""link"": ""https://blog.naver.com/merry_christmas_eve/223678401670""}]"
2024,더 지니어스 햄스터,3,"[{""context"": ""[[더 지니어스 햄스터]]"", ""title"": ""버닝비버 2024 인디게임 페스티벌 후기"", ""link"": ""https://blog.naver.com/iammulgogi/223687904686""}, {""context"": ""이 게임은 옆에 [[더 지니어스 햄스터]]와 같이 햄스터라서 바로 옆에 배치된 것 같았다 ㅎㅎ"", ""title"": ""[ 버닝비버 2024] 대망의 참가 후기 ! ft.남도형 성우..."", ""link"": ""https://blog.naver.com/merry_christmas_eve/223678401670""}, {""context"": ""특히나 \""[[더 지니어스 햄스터]]\""는 귀여운 햄스터가 샷건을 들고 있다는 매우 이질적인 컨셉아트 때문에 한 번쯤 눈이 돌아갈 수밖에 없었죠."", ""title"": ""버닝비버 2024 후기 - 스토브 인디, 스팀게임으로 모두가 즐길..."", ""link"": ""https://blog.naver.com/whithmag/223678077620""}]"
2024,솔라테리아,3,"[{""context"": ""[[솔라테리아]]"", ""title"": ""버닝비버 2024 후기 로스트아크 굿즈도 잔뜩!"", ""link"": ""https://blog.naver.com/doek11/223680208709""}, {""context"": ""[[솔라테리아]]"", ""title"": ""든든하게 먹은 버닝비버 2024 행사 후기"", ""link"": ""https://blog.naver.com/neopgame/223735120710""}, {""context"": ""[[솔라테리아]]"", ""title"": ""[ 버닝비버 2024] 대망의 참가 후기 ! ft.남도형 성우..."", ""link"": ""https://blog.naver.com/merry_christmas_eve/223678401670""}]"
2024,목성의 노래,2,"[{""context"": ""[[목성의 노래]]"", ""title"": ""버닝비버 2024 후기"", ""link"": ""https://blog.naver.com/biuwhdle/223679891503""}, {""context"": ""[[목성의 노래]]"", ""title"": ""[ 버닝비버 2024] 대망의 참가 후기 ! ft.남도형 성우..."", ""link"": ""https://blog.naver.com/merry_christmas_eve/223678401670""}]"
2025,Typer,3,"[{""context"": ""키보드 덕후를 겨냥했다는 [[Typer]]의 기념품 스티커와 쿠폰입니다."", ""title"": ""비버 롹스( 버닝비버 ) 2025 후기 - 인디게임 플레이를..."", ""link"": ""https://blog.naver.com/whithmag/224100397751""}, {""context"": ""#[[typer]]"", ""title"": ""비버롹스 & 케데헌 팝업 후기"", ""link"": ""https://blog.naver.com/rangpa5/224109627693""}, {""context"": ""-[[Typer]]"", ""title"": ""BEAVER ROCKS 2025 게임 후기"", ""link"": ""https://blog.naver.com/kms7231931/224109287236""}]"
2025,페블 나이츠,3,"[{""context"": ""[[페블 나이츠]]"", ""title"": ""비버 롹스 버닝비버 2025 후기 , 산나비 굿즈 폭발적 인기"", ""link"": ""https://blog.naver.com/neopgame/224103297008""}, {""context"": ""pebble knights([[페블나이츠]]), module berserk(모듈버서크), 메이드서바이벌, 오컬트 디렉티브, 루나락시아, 전국퇴마사협회, deadly trick(데들리트릭), 풍비박산 8개를 즐겨봤습니다."", ""title"": ""스마일게이트 비버 롹스2025( 버닝비버 ) 행사 후기 , 인디게임..."", ""link"": ""https://blog.naver.com/jhk7318/224102077942""}, {""context"": ""스팀게임에서 찜만 눌러도 키링을 주던 [[페블 나이츠]], 자유롭게 스티커를 가져갈 수 있던 에버(EVER)입니다."", ""title"": ""비버 롹스( 버닝비버 ) 2025 후기 - 인디게임 플레이를..."", ""link"": ""https://blog.naver.com/whithmag/224100397751""}]"
2025,풍비박산,3,"[{""context"": ""[[풍비박산]]"", ""title"": ""비버 롹스 버닝비버 2025 후기 , 산나비 굿즈 폭발적 인기"", ""link"": ""https://blog.naver.com/neopgame/224103297008""}, {""context"": ""사실 인디게임 부스만 80개가 넘어가다보니 모든 게임을 소개하기엔 힘들지만 산나비를 시작으로 [[풍비박산]], 전국 퇴마사협회, 루나락시아, 오컬트디렉티브, 사람속에 피어나는 꽃, 모듈버서커, 메이드서바이벌, 수상한편의점 등등 정말 매력적인 게임이 많았습니다."", ""title"": ""스마일게이트 비버 롹스2025( 버닝비버 ) 행사 후기 , 인디게임..."", ""link"": ""https://blog.naver.com/jhk7318/224102077942""}, {""context"": ""-[[풍비박산]]"", ""title"": ""BEAVER ROCKS 2025 게임 후기"", ""link"": ""https://blog.naver.com/kms7231931/224109287236""}]"
2025,던전 인,2,"[{""context"": ""[[던전 인]]"", ""title"": ""비버 롹스 버닝비버 2025 후기 , 산나비 굿즈 폭발적 인기"", ""link"": ""https://blog.naver.com/neopgame/224103297008""}, {""context"": ""[[던전인]](Dungeon Inn)은 여관 경영 시뮬레이션 게임으로, 고양이 npc의 도움을 받아 튜토리얼(1주차)을 진행할 땐 쉬웠지만 hard 난이도로 진행하면 머리 좀 써야겠다는 생각이 들었습니다."", ""title"": ""비버 롹스( 버닝비버 ) 2025 후기 - 인디게임 플레이를..."", ""link"": ""https://blog.naver.com/whithmag/224100397751""}]"
2025,수상한 편의점,2,"[{""context"": ""[[수상한 편의점]]"", ""title"": ""비버 롹스 버닝비버 2025 후기 , 산나비 굿즈 폭발적 인기"", ""link"": ""https://blog.naver.com/neopgame/224103297008""}, {""context"": ""사실 인디게임 부스만 80개가 넘어가다보니 모든 게임을 소개하기엔 힘들지만 산나비를 시작으로 풍비박산, 전국 퇴마사협회, 루나락시아, 오컬트디렉티브, 사람속에 피어나는 꽃, 모듈버서커, 메이드서바이벌, [[수상한편의점]] 등등 정말 매력적인 게임이 많았습니다."", ""title"": ""스마일게이트 비버 롹스2025( 버닝비버 ) 행사 후기 , 인디게임..."", ""link"": ""https://blog.naver.com/jhk7318/224102077942""}]"
2025,영상편집자,2,"[{""context"": ""[[영상편집자]]"", ""title"": ""비버 롹스 버닝비버 2025 후기 , 산나비 굿즈 폭발적 인기"", ""link"": ""https://blog.naver.com/neopgame/224103297008""}, {""context"": ""[[영상편집자]]라는 게임이 젤 재밌더라구욧🎥🎞️"", ""title"": ""[ 비버롹스 2025] 인디게임 페스티벌 후기"", ""link"": ""https://blog.naver.com/dlalsrud44/224101263404""}]"
2025,프로젝트 레버넌트,2,"[{""context"": ""[[프로젝트 레버넌트]]"", ""title"": ""비버 롹스 버닝비버 2025 후기 , 산나비 굿즈 폭발적 인기"", ""link"": ""https://blog.naver.com/neopgame/224103297008""}, {""context"": ""[[프로젝트 레버넌트]] 포토카드와 랜덤 띠부씰입니다."", ""title"": ""비버 롹스( 버닝비버 ) 2025 후기 - 인디게임 플레이를..."", ""link"": ""https://blog.naver.com/whithmag/224100397751""}]"
2025,글러트니,1,"[{""context"": ""[[글러트니]]."", ""title"": ""비버 롹스 버닝비버 2025 후기 , 산나비 굿즈 폭발적 인기"", ""link"": ""https://blog.naver.com/neopgame/224103297008""}]"
2025,데들리 트릭,1,"[{""context"": ""pebble knights(페블나이츠), module berserk(모듈버서크), 메이드서바이벌, 오컬트 디렉티브, 루나락시아, 전국퇴마사협회, deadly trick([[데들리트릭]]), 풍비박산 8개를 즐겨봤습니다."", ""title"": ""스마일게이트 비버 롹스2025( 버닝비버 ) 행사 후기 , 인디게임..."", ""link"": ""https://blog.naver.com/jhk7318/224102077942""}]"
2025,레버리,1,"[{""context"": ""[[레버리]]."", ""title"": ""비버 롹스 버닝비버 2025 후기 , 산나비 굿즈 폭발적 인기"", ""link"": ""https://blog.naver.com/neopgame/224103297008""}]"
